0	0.36
1	1.96
2	0.49
3	3.24
4	0.01
5	0.81
6	0.36
7	1.44
8	1
9	0.16
10	2.25
11	0.49
12	0
13	0.36
14	0.25
15	0.01
16	0.16
17	0.64
18	1.44
19	0.36
20	1.44
21	0.25
22	0
23	0.36
24	2.56
25	2.56
26	0.04
27	0.25
28	0.04
29	0.36
30	0.36
31	0.01
32	0.81
33	2.25
34	0.16
35	1.96
36	0.64
37	0.81
38	1.69
39	0.16
40	1.44
41	0.49
42	0.09
43	1
44	0.25
45	0.01
46	0.01
47	0.25
48	1.69
49	0.01
50	7.29
51	0.04
52	0.25
53	0.81
54	0.64
55	0.36
56	1
57	0.36
58	2.25
59	0.09
60	0.64
61	0.01
62	0.01
63	0.36
64	0.01
65	4
66	3.24
67	0.81
68	0.36
69	0.81
70	0.09
71	1.96
72	0.25
73	0.01
74	1
75	0.25
76	0.36
77	0.64
78	0.01
79	0.16
80	0.36
81	4
82	0.16
83	1.44
84	1.44
85	0.25
86	0.09
87	4.84
88	0.36
89	0.36
90	2.25
91	0.36
92	0.64
93	0.16
94	1.96
95	0.01
96	0.81
97	2.56
98	1.69
99	0
